Family,CommonName,ThermalRegime,SpawningHabitat,AdultLengthTL_Min_cm,AdultLengthTL_Max_cm,AdultWeightMin_kg,AdultWeightMax_kg,AgeAtMaturityMin_yr,AgeAtMaturityMax_yr,RecordLengthTL_cm
Petromyzontidae_lampreys,Chestnut_Lamprey,coolwater,riverine,17.8,31,0.01,0.06,5,7,22.4
Petromyzontidae_lampreys,Northern_Brook_Lamprey,coolwater,riverine,8.6,16.6,0.001,0.008,4,7,16.1
Petromyzontidae_lampreys,Silver_Lamprey,coolwater,riverine,15.7,32.8,0.01,0.07,4,7,30.6
Petromyzontidae_lampreys,American_Brook_Lamprey,coldwater,riverine,13.5,20.8,0.003,0.012,4,5,23
Petromyzontidae_lampreys,Sea_Lamprey,benthopelagic,coolwater_riverine,30.2,58.1,0.07,0.37,3,7,56.6
Acipenseridae_sturgeons,Lake_Sturgeon,coolwater,lacustrine_riverine,76.2,142.5,2.5,20.1,12,20,223.5
Polyodontidae_paddlefishes,Paddlefish,warmwater,riverine,89,150.5,2.5,15.6,7,10,0
Lepisosteidae_gars,Spotted_Gar,warmwater,lacustrine,40.6,73.7,0.25,1.6,2,3,76.1
Lepisosteidae_gars,Longnose_Gar,warmwater,lacustrine,66,121.9,0.8,6.8,3,4,137.2
Amiidae_bowfins,Bowfin,warmwater,lacustrine,38.1,68.6,0.6,3.3,3,4,83.5
Hiodontidae_mooneyes,Goldeye,coolwater,riverine,25.9,40.6,0.21,0.77,3,6,42.6
Hiodontidae_mooneyes,Mooneye,coolwater,riverine,22.8,36.8,0.1,0.46,3,0,41.9
Anguillidae_freshwatereels,American_Eel,benthic,coolwater_marine,22.8,39.8,0.02,0.13,5,15,120
Clupeidae_herrings,Alewife,coldwater,lacustrine_riverine,13.2,21.6,0.023,0.065,1,2,30.9
Cyprinidae_carps_and_minnows,Goldfish,warmwater,lacustrine_riverine,21,40.6,0.26,1.16,2,3,39.3
Cyprinidae_carps_and_minnows,Northern_Redbelly_Dace,coolwater,lacustrine_riverine,3.1,6.8,0.0003,0.0027,1,0,8
Cyprinidae_carps_and_minnows,Finescale_Dace,coolwater,lacustrine_riverine,5,8.3,0.001,0.005,2,0,10.6
Cyprinidae_carps_and_minnows,Redside_Dace,coolwater,riverine,6.4,9.7,0.003,0.007,2,3,10.7
Cyprinidae_carps_and_minnows,Lake_Chub,coldwater,riverine,12.7,18.3,0.018,0.057,3,4,20.7
Cyprinidae_carps_and_minnows,Grass_Carp,warmwater,riverine,51,86,1.5,6.8,4,5,110
Cyprinidae_carps_and_minnows,Common_Carp,warmwater,lacustrine_riverine,35.3,76.2,0.6,6,2,4,104.1
Cyprinidae_carps_and_minnows,Gravel_Chub,coolwater,riverine,6.4,9.7,0.004,0.0065,1,2,9.4
Cyprinidae_carps_and_minnows,Cutlip_Minnow,warmwater,riverine,8.9,11.4,0.01,0.022,2,3,14
Cyprinidae_carps_and_minnows,Brassy_Minnow,coolwater,lacustrine_riverine,6.2,8.5,0.002,0.005,1,2,9.6
Cyprinidae_carps_and_minnows,Eastern_Silvery_Minnow,warmwater,lacustrine_riverine,7.6,12.7,0.003,0.007,1,2,10.8
Cyprinidae_carps_and_minnows,Common_Shiner,coolwater,riverine,7.1,15.2,0.003,0.041,1,3,18
Cyprinidae_carps_and_minnows,Redfin_Shiner,coolwater,riverine,3.8,7.6,0.002,0.006,1,0,7.3
Cyprinidae_carps_and_minnows,Silver_Chub,coolwater,lacustrine_riverine,10.2,17.9,0.01,0.06,1,2,22.8
Cyprinidae_carps_and_minnows,Northern_Pearl_Dace,coolwater,lacustrine_riverine,6.5,12,0.002,0.015,1,0,16
Cyprinidae_carps_and_minnows,Golden_Shiner,coolwater,lacustrine,10.2,17.8,0.009,0.049,2,3,23
Cyprinidae_carps_and_minnows,Pugnose_Shiner,coolwater,lacustrine_riverine,3.8,5.6,0.001,0.002,1,0,7.2
Cyprinidae_carps_and_minnows,Emerald_Shiner,coolwater,lacustrine_riverine,6.4,10.2,0.002,0.009,1,2,12.4
Cyprinidae_carps_and_minnows,Bridle_Shiner,coolwater,lacustrine_riverine,3.3,4.8,0.001,0.002,1,2,5.5
Cyprinidae_carps_and_minnows,River_Shiner,coolwater,riverine,5.8,9.7,0.001,0.008,1,0,9.7
Cyprinidae_carps_and_minnows,Ghost_Shiner,warmwater,riverine,3.8,5.1,0.001,0.003,1,2,5.8
Cyprinidae_carps_and_minnows,Blackchin_Shiner,coolwater,lacustrine_riverine,4.1,6.4,0.001,0.003,1,0,7.2
Cyprinidae_carps_and_minnows,Blacknose_Shiner,coolwater,lacustrine_riverine,4.4,6.9,0.001,0.002,1,0,9.5
Cyprinidae_carps_and_minnows,Spottail_Shiner,coolwater,lacustrine_riverine,5.8,12.7,0.001,0.016,1,2,14.2
Cyprinidae_carps_and_minnows,Silver_Shiner,warmwater,riverine,6.9,12.9,0.003,0.018,1,2,13.8
Cyprinidae_carps_and_minnows,Rosyface_Shiner,warmwater,riverine,4.6,7.6,0.001,0.004,1,2,8.7
